trial,mse_standardized,acd,xcorrD
0,3.6778732621094994,0.3963102413455823,0.37465393724758744
1,3.806530565059421,0.3160454239583162,0.46350280029911844
2,3.718728861315049,0.3123261545118521,0.3568229988615047
3,3.708100814077425,0.38085314775633905,0.3429033078571976
4,3.6367058893098543,0.33460394485786965,0.5061775675489537
