diagnostic,target,real_value,default_trial_0,default_5trial_mean,variant_a,variant_b,variant_a_pct_vs_default_trial_0,variant_b_pct_vs_default_trial_0,variant_a_pct_vs_default_5mean,variant_b_pct_vs_default_5mean
MSE standardized,lower is better,,3.6778732621094994,3.7095878783742497,3.701940814061194,3.7646782398644336,0.6543877463001557,2.360194916155045,-0.2061432311021849,1.48508037271049
ACD,lower is better,,0.3963102413455823,0.3480277824859918,0.38231510043948275,0.38451786881089206,-3.5313598908224497,-2.9755407013081214,9.851891049781635,10.48481993714654
xcorrD,lower is better,,0.3746539372475874,0.4088121223628723,0.38608614442509714,0.3991466435705603,3.0514045205281892,6.53742130748971,-5.559027410053896,-2.3642838026541324
Temperature std,closer to real std,0.8429751253415467,0.2210468388172345,0.23700803116656322,0.21614900955578775,0.28626942052424403,-2.2157427302076704,29.506226850381132,-8.800976704505114,20.784692027191753
Humidity std,closer to real std,3.683683434794787,0.915596928826528,0.7677040088070146,0.8497907626127666,1.4880107519537558,-7.187241912017073,62.51810213702444,10.692500347016809,93.82610158126865
Light std,closer to real std,203.65542195389156,170.16873343455856,170.99504588794676,169.55611925790032,166.50812455931205,-0.36000395859667744,-2.151164201180511,-0.8415019409330537,-2.6240066227269487
CO2 std,closer to real std,487.26187292499947,57.9443956060647,57.37918980878343,53.3739663463083,58.86269239750887,-7.887612273719258,1.5847896622948943,-6.980271899660073,2.5854366254895345
Light below zero percent,closer to real value,0.0,40.268123138033765,45.65044687189672,41.062562065541215,21.49950347567031,1.9728729963008673,-46.60912453760789,-10.050032629976059,-52.904067870350225
Light exact zero percent,closer to real value,69.36444885799405,0.0,0.0,0.0,0.0,,,,
