metric,mean_wavestitch,std_wavestitch,trials_wavestitch,mean_baseline,std_baseline,trials_baseline,baseline_minus_wavestitch,better_lower_mean
mse_standardized,3.7095878783742497,0.0562161091607898,5,3.206921250505256,0.48781902093859414,5,-0.5026666278689937,empirical_baseline
acd,0.3480277824859918,0.0343114480962917,5,0.2657468881420129,0.06540681224085779,5,-0.0822808943439789,empirical_baseline
xcorrD,0.4088121223628723,0.064319083593851,5,0.3741131966775746,0.08787945723961516,5,-0.0346989256852977,empirical_baseline
