method,trial,mse_standardized,acd,xcorrD
Default trial 0,0,3.6778732621094994,0.3963102413455823,0.37465393724758744
Variant A — no gradient correction,0,3.701940814061194,0.38231510043948275,0.38608614442509714
Variant B — sqrt posterior variance,0,3.7646782398644336,0.38451786881089206,0.3991466435705603
